NetworkID,prop_belA,dens_c,dens_y,dens_o,poldens_c,poldens_y,poldens_o,Qrel,y_o,p_in
1,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
2,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
3,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
4,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
5,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.8,3,0.8
6,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
7,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
8,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
9,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
10,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.6,3,0.6
11,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
12,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
13,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
14,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
15,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.4,3,0.4
16,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
17,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
18,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
19,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
20,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.8,3,0.8
21,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
22,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
23,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
24,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
25,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.6,3,0.6
26,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
27,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
28,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
29,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
30,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.4,3,0.4
31,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
32,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
33,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
34,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
35,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.8,3,0.8
36,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
37,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
38,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
39,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
40,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.6,3,0.6
41,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
42,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
43,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
44,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
45,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0.4,3,0.4
46,0.8,0.05,0.05,0.05,0.02,0.02,0.02,0.8,3,0.8
47,0.6,0.05,0.05,0.05,0.02,0.02,0.02,0.8,3,0.8
48,0.5,0.05,0.05,0.05,0.02,0.02,0.02,0.8,3,0.8
49,0.4,0.05,0.05,0.05,0.02,0.02,0.02,0.8,3,0.8
50,0.2,0.05,0.05,0.05,0.02,0.02,0.02,0.8,3,0.8
51,0.8,0.05,0.05,0.05,0.02,0.02,0.02,0.6,3,0.6
52,0.6,0.05,0.05,0.05,0.02,0.02,0.02,0.6,3,0.6
53,0.5,0.05,0.05,0.05,0.02,0.02,0.02,0.6,3,0.6
54,0.4,0.05,0.05,0.05,0.02,0.02,0.02,0.6,3,0.6
55,0.2,0.05,0.05,0.05,0.02,0.02,0.02,0.6,3,0.6
56,0.8,0.05,0.05,0.05,0.02,0.02,0.02,0.4,3,0.4
57,0.6,0.05,0.05,0.05,0.02,0.02,0.02,0.4,3,0.4
58,0.5,0.05,0.05,0.05,0.02,0.02,0.02,0.4,3,0.4
59,0.4,0.05,0.05,0.05,0.02,0.02,0.02,0.4,3,0.4
60,0.2,0.05,0.05,0.05,0.02,0.02,0.02,0.4,3,0.4
61,0.8,0.05,0.05,0.05,0.005,0.005,0.005,0.8,3,0.8
62,0.6,0.05,0.05,0.05,0.005,0.005,0.005,0.8,3,0.8
63,0.5,0.05,0.05,0.05,0.005,0.005,0.005,0.8,3,0.8
64,0.4,0.05,0.05,0.05,0.005,0.005,0.005,0.8,3,0.8
65,0.2,0.05,0.05,0.05,0.005,0.005,0.005,0.8,3,0.8
66,0.8,0.05,0.05,0.05,0.005,0.005,0.005,0.6,3,0.6
67,0.6,0.05,0.05,0.05,0.005,0.005,0.005,0.6,3,0.6
68,0.5,0.05,0.05,0.05,0.005,0.005,0.005,0.6,3,0.6
69,0.4,0.05,0.05,0.05,0.005,0.005,0.005,0.6,3,0.6
70,0.2,0.05,0.05,0.05,0.005,0.005,0.005,0.6,3,0.6
71,0.8,0.05,0.05,0.05,0.005,0.005,0.005,0.4,3,0.4
72,0.6,0.05,0.05,0.05,0.005,0.005,0.005,0.4,3,0.4
73,0.5,0.05,0.05,0.05,0.005,0.005,0.005,0.4,3,0.4
74,0.4,0.05,0.05,0.05,0.005,0.005,0.005,0.4,3,0.4
75,0.2,0.05,0.05,0.05,0.005,0.005,0.005,0.4,3,0.4
76,0.8,0.02,0.02,0.02,0.005,0.005,0.005,0.8,3,0.8
77,0.6,0.02,0.02,0.02,0.005,0.005,0.005,0.8,3,0.8
78,0.5,0.02,0.02,0.02,0.005,0.005,0.005,0.8,3,0.8
79,0.4,0.02,0.02,0.02,0.005,0.005,0.005,0.8,3,0.8
80,0.2,0.02,0.02,0.02,0.005,0.005,0.005,0.8,3,0.8
81,0.8,0.02,0.02,0.02,0.005,0.005,0.005,0.6,3,0.6
82,0.6,0.02,0.02,0.02,0.005,0.005,0.005,0.6,3,0.6
83,0.5,0.02,0.02,0.02,0.005,0.005,0.005,0.6,3,0.6
84,0.4,0.02,0.02,0.02,0.005,0.005,0.005,0.6,3,0.6
85,0.2,0.02,0.02,0.02,0.005,0.005,0.005,0.6,3,0.6
86,0.8,0.02,0.02,0.02,0.005,0.005,0.005,0.4,3,0.4
87,0.6,0.02,0.02,0.02,0.005,0.005,0.005,0.4,3,0.4
88,0.5,0.02,0.02,0.02,0.005,0.005,0.005,0.4,3,0.4
89,0.4,0.02,0.02,0.02,0.005,0.005,0.005,0.4,3,0.4
90,0.2,0.02,0.02,0.02,0.005,0.005,0.005,0.4,3,0.4
91,0.8,0.05,0.05,0.05,0,0,0,0.8,3,0.8
92,0.6,0.05,0.05,0.05,0,0,0,0.8,3,0.8
93,0.5,0.05,0.05,0.05,0,0,0,0.8,3,0.8
94,0.4,0.05,0.05,0.05,0,0,0,0.8,3,0.8
95,0.2,0.05,0.05,0.05,0,0,0,0.8,3,0.8
96,0.8,0.05,0.05,0.05,0,0,0,0.6,3,0.6
97,0.6,0.05,0.05,0.05,0,0,0,0.6,3,0.6
98,0.5,0.05,0.05,0.05,0,0,0,0.6,3,0.6
99,0.4,0.05,0.05,0.05,0,0,0,0.6,3,0.6
100,0.2,0.05,0.05,0.05,0,0,0,0.6,3,0.6
101,0.8,0.05,0.05,0.05,0,0,0,0.4,3,0.4
102,0.6,0.05,0.05,0.05,0,0,0,0.4,3,0.4
103,0.5,0.05,0.05,0.05,0,0,0,0.4,3,0.4
104,0.4,0.05,0.05,0.05,0,0,0,0.4,3,0.4
105,0.2,0.05,0.05,0.05,0,0,0,0.4,3,0.4
106,0.8,0.02,0.02,0.02,0,0,0,0.8,3,0.8
107,0.6,0.02,0.02,0.02,0,0,0,0.8,3,0.8
108,0.5,0.02,0.02,0.02,0,0,0,0.8,3,0.8
109,0.4,0.02,0.02,0.02,0,0,0,0.8,3,0.8
110,0.2,0.02,0.02,0.02,0,0,0,0.8,3,0.8
111,0.8,0.02,0.02,0.02,0,0,0,0.6,3,0.6
112,0.6,0.02,0.02,0.02,0,0,0,0.6,3,0.6
113,0.5,0.02,0.02,0.02,0,0,0,0.6,3,0.6
114,0.4,0.02,0.02,0.02,0,0,0,0.6,3,0.6
115,0.2,0.02,0.02,0.02,0,0,0,0.6,3,0.6
116,0.8,0.02,0.02,0.02,0,0,0,0.4,3,0.4
117,0.6,0.02,0.02,0.02,0,0,0,0.4,3,0.4
118,0.5,0.02,0.02,0.02,0,0,0,0.4,3,0.4
119,0.4,0.02,0.02,0.02,0,0,0,0.4,3,0.4
120,0.2,0.02,0.02,0.02,0,0,0,0.4,3,0.4
121,0.8,0.005,0.005,0.005,0,0,0,0.8,3,0.8
122,0.6,0.005,0.005,0.005,0,0,0,0.8,3,0.8
123,0.5,0.005,0.005,0.005,0,0,0,0.8,3,0.8
124,0.4,0.005,0.005,0.005,0,0,0,0.8,3,0.8
125,0.2,0.005,0.005,0.005,0,0,0,0.8,3,0.8
126,0.8,0.005,0.005,0.005,0,0,0,0.6,3,0.6
127,0.6,0.005,0.005,0.005,0,0,0,0.6,3,0.6
128,0.5,0.005,0.005,0.005,0,0,0,0.6,3,0.6
129,0.4,0.005,0.005,0.005,0,0,0,0.6,3,0.6
130,0.2,0.005,0.005,0.005,0,0,0,0.6,3,0.6
131,0.8,0.005,0.005,0.005,0,0,0,0.4,3,0.4
132,0.6,0.005,0.005,0.005,0,0,0,0.4,3,0.4
133,0.5,0.005,0.005,0.005,0,0,0,0.4,3,0.4
134,0.4,0.005,0.005,0.005,0,0,0,0.4,3,0.4
135,0.2,0.005,0.005,0.005,0,0,0,0.4,3,0.4
136,0.8,0.05,0.05,0.05,0.05,0.05,0.05,0,3,0
137,0.6,0.05,0.05,0.05,0.05,0.05,0.05,0,3,0
138,0.5,0.05,0.05,0.05,0.05,0.05,0.05,0,3,0
139,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0,3,0
140,0.2,0.05,0.05,0.05,0.05,0.05,0.05,0,3,0
141,0.8,0.02,0.02,0.02,0.02,0.02,0.02,0,3,0
142,0.6,0.02,0.02,0.02,0.02,0.02,0.02,0,3,0
143,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0,3,0
144,0.4,0.02,0.02,0.02,0.02,0.02,0.02,0,3,0
145,0.2,0.02,0.02,0.02,0.02,0.02,0.02,0,3,0
146,0.8,0.005,0.005,0.005,0.005,0.005,0.005,0,3,0
147,0.6,0.005,0.005,0.005,0.005,0.005,0.005,0,3,0
148,0.5,0.005,0.005,0.005,0.005,0.005,0.005,0,3,0
149,0.4,0.005,0.005,0.005,0.005,0.005,0.005,0,3,0
150,0.2,0.005,0.005,0.005,0.005,0.005,0.005,0,3,0
151,0.8,0.05,0.05,0.05,0.02,0.02,0.02,0,3,0
152,0.6,0.05,0.05,0.05,0.02,0.02,0.02,0,3,0
153,0.5,0.05,0.05,0.05,0.02,0.02,0.02,0,3,0
154,0.4,0.05,0.05,0.05,0.02,0.02,0.02,0,3,0
155,0.2,0.05,0.05,0.05,0.02,0.02,0.02,0,3,0
156,0.8,0.05,0.05,0.05,0.005,0.005,0.005,0,3,0
157,0.6,0.05,0.05,0.05,0.005,0.005,0.005,0,3,0
158,0.5,0.05,0.05,0.05,0.005,0.005,0.005,0,3,0
159,0.4,0.05,0.05,0.05,0.005,0.005,0.005,0,3,0
160,0.2,0.05,0.05,0.05,0.005,0.005,0.005,0,3,0
161,0.8,0.02,0.02,0.02,0.005,0.005,0.005,0,3,0
162,0.6,0.02,0.02,0.02,0.005,0.005,0.005,0,3,0
163,0.5,0.02,0.02,0.02,0.005,0.005,0.005,0,3,0
164,0.4,0.02,0.02,0.02,0.005,0.005,0.005,0,3,0
165,0.2,0.02,0.02,0.02,0.005,0.005,0.005,0,3,0
166,0.8,0.05,0.05,0.02,0,0,0,0.8,3,0.8
167,0.6,0.05,0.05,0.02,0,0,0,0.8,3,0.8
168,0.5,0.05,0.05,0.02,0,0,0,0.8,3,0.8
169,0.4,0.05,0.05,0.02,0,0,0,0.8,3,0.8
170,0.2,0.05,0.05,0.02,0,0,0,0.8,3,0.8
171,0.8,0.05,0.05,0.02,0,0,0,0.6,3,0.6
172,0.6,0.05,0.05,0.02,0,0,0,0.6,3,0.6
173,0.5,0.05,0.05,0.02,0,0,0,0.6,3,0.6
174,0.4,0.05,0.05,0.02,0,0,0,0.6,3,0.6
175,0.2,0.05,0.05,0.02,0,0,0,0.6,3,0.6
176,0.8,0.05,0.05,0.02,0,0,0,0.4,3,0.4
177,0.6,0.05,0.05,0.02,0,0,0,0.4,3,0.4
178,0.5,0.05,0.05,0.02,0,0,0,0.4,3,0.4
179,0.4,0.05,0.05,0.02,0,0,0,0.4,3,0.4
180,0.2,0.05,0.05,0.02,0,0,0,0.4,3,0.4
181,0.8,0.05,0.05,0.02,0.005,0.005,0.005,0.8,3,0.8
182,0.6,0.05,0.05,0.02,0.005,0.005,0.005,0.8,3,0.8
183,0.5,0.05,0.05,0.02,0.005,0.005,0.005,0.8,3,0.8
184,0.4,0.05,0.05,0.02,0.005,0.005,0.005,0.8,3,0.8
185,0.2,0.05,0.05,0.02,0.005,0.005,0.005,0.8,3,0.8
186,0.8,0.05,0.05,0.02,0.005,0.005,0.005,0.6,3,0.6
187,0.6,0.05,0.05,0.02,0.005,0.005,0.005,0.6,3,0.6
188,0.5,0.05,0.05,0.02,0.005,0.005,0.005,0.6,3,0.6
189,0.4,0.05,0.05,0.02,0.005,0.005,0.005,0.6,3,0.6
190,0.2,0.05,0.05,0.02,0.005,0.005,0.005,0.6,3,0.6
191,0.8,0.05,0.05,0.02,0.005,0.005,0.005,0.4,3,0.4
192,0.6,0.05,0.05,0.02,0.005,0.005,0.005,0.4,3,0.4
193,0.5,0.05,0.05,0.02,0.005,0.005,0.005,0.4,3,0.4
194,0.4,0.05,0.05,0.02,0.005,0.005,0.005,0.4,3,0.4
195,0.2,0.05,0.05,0.02,0.005,0.005,0.005,0.4,3,0.4
196,0.8,0.05,0.05,0.05,0.05,0.02,0.02,0.8,3,0.8
197,0.6,0.05,0.05,0.05,0.05,0.02,0.02,0.8,3,0.8
198,0.5,0.05,0.05,0.05,0.05,0.02,0.02,0.8,3,0.8
199,0.4,0.05,0.05,0.05,0.05,0.02,0.02,0.8,3,0.8
200,0.2,0.05,0.05,0.05,0.05,0.02,0.02,0.8,3,0.8
201,0.8,0.05,0.05,0.05,0.05,0.02,0.02,0.6,3,0.6
202,0.6,0.05,0.05,0.05,0.05,0.02,0.02,0.6,3,0.6
203,0.5,0.05,0.05,0.05,0.05,0.02,0.02,0.6,3,0.6
204,0.4,0.05,0.05,0.05,0.05,0.02,0.02,0.6,3,0.6
205,0.2,0.05,0.05,0.05,0.05,0.02,0.02,0.6,3,0.6
206,0.8,0.05,0.05,0.05,0.05,0.02,0.02,0.4,3,0.4
207,0.6,0.05,0.05,0.05,0.05,0.02,0.02,0.4,3,0.4
208,0.5,0.05,0.05,0.05,0.05,0.02,0.02,0.4,3,0.4
209,0.4,0.05,0.05,0.05,0.05,0.02,0.02,0.4,3,0.4
210,0.2,0.05,0.05,0.05,0.05,0.02,0.02,0.4,3,0.4
211,0.8,0.05,0.05,0.05,0.05,0.02,0.02,0,3,0
212,0.6,0.05,0.05,0.05,0.05,0.02,0.02,0,3,0
213,0.5,0.05,0.05,0.05,0.05,0.02,0.02,0,3,0
214,0.4,0.05,0.05,0.05,0.05,0.02,0.02,0,3,0
215,0.2,0.05,0.05,0.05,0.05,0.02,0.02,0,3,0
216,0.8,0.05,0.05,0.05,0.05,0.02,0.005,0.8,3,0.8
217,0.6,0.05,0.05,0.05,0.05,0.02,0.005,0.8,3,0.8
218,0.5,0.05,0.05,0.05,0.05,0.02,0.005,0.8,3,0.8
219,0.4,0.05,0.05,0.05,0.05,0.02,0.005,0.8,3,0.8
220,0.2,0.05,0.05,0.05,0.05,0.02,0.005,0.8,3,0.8
221,0.8,0.05,0.05,0.05,0.05,0.02,0.005,0.6,3,0.6
222,0.6,0.05,0.05,0.05,0.05,0.02,0.005,0.6,3,0.6
223,0.5,0.05,0.05,0.05,0.05,0.02,0.005,0.6,3,0.6
224,0.4,0.05,0.05,0.05,0.05,0.02,0.005,0.6,3,0.6
225,0.2,0.05,0.05,0.05,0.05,0.02,0.005,0.6,3,0.6
226,0.8,0.05,0.05,0.05,0.05,0.02,0.005,0.4,3,0.4
227,0.6,0.05,0.05,0.05,0.05,0.02,0.005,0.4,3,0.4
228,0.5,0.05,0.05,0.05,0.05,0.02,0.005,0.4,3,0.4
229,0.4,0.05,0.05,0.05,0.05,0.02,0.005,0.4,3,0.4
230,0.2,0.05,0.05,0.05,0.05,0.02,0.005,0.4,3,0.4
231,0.8,0.05,0.05,0.05,0.05,0.02,0.005,0,3,0
232,0.6,0.05,0.05,0.05,0.05,0.02,0.005,0,3,0
233,0.5,0.05,0.05,0.05,0.05,0.02,0.005,0,3,0
234,0.4,0.05,0.05,0.05,0.05,0.02,0.005,0,3,0
235,0.2,0.05,0.05,0.05,0.05,0.02,0.005,0,3,0
236,0.8,0.05,0.05,0.05,0.02,0.02,0.005,0.8,3,0.8
237,0.6,0.05,0.05,0.05,0.02,0.02,0.005,0.8,3,0.8
238,0.5,0.05,0.05,0.05,0.02,0.02,0.005,0.8,3,0.8
239,0.4,0.05,0.05,0.05,0.02,0.02,0.005,0.8,3,0.8
240,0.2,0.05,0.05,0.05,0.02,0.02,0.005,0.8,3,0.8
241,0.8,0.05,0.05,0.05,0.02,0.02,0.005,0.6,3,0.6
242,0.6,0.05,0.05,0.05,0.02,0.02,0.005,0.6,3,0.6
243,0.5,0.05,0.05,0.05,0.02,0.02,0.005,0.6,3,0.6
244,0.4,0.05,0.05,0.05,0.02,0.02,0.005,0.6,3,0.6
245,0.2,0.05,0.05,0.05,0.02,0.02,0.005,0.6,3,0.6
246,0.8,0.05,0.05,0.05,0.02,0.02,0.005,0.4,3,0.4
247,0.6,0.05,0.05,0.05,0.02,0.02,0.005,0.4,3,0.4
248,0.5,0.05,0.05,0.05,0.02,0.02,0.005,0.4,3,0.4
249,0.4,0.05,0.05,0.05,0.02,0.02,0.005,0.4,3,0.4
250,0.2,0.05,0.05,0.05,0.02,0.02,0.005,0.4,3,0.4
251,0.8,0.05,0.05,0.05,0.02,0.02,0.005,0,3,0
252,0.6,0.05,0.05,0.05,0.02,0.02,0.005,0,3,0
253,0.5,0.05,0.05,0.05,0.02,0.02,0.005,0,3,0
254,0.4,0.05,0.05,0.05,0.02,0.02,0.005,0,3,0
255,0.2,0.05,0.05,0.05,0.02,0.02,0.005,0,3,0
256,0.8,0.05,0.05,0.05,0.02,0.005,0.005,0.8,3,0.8
257,0.6,0.05,0.05,0.05,0.02,0.005,0.005,0.8,3,0.8
258,0.5,0.05,0.05,0.05,0.02,0.005,0.005,0.8,3,0.8
259,0.4,0.05,0.05,0.05,0.02,0.005,0.005,0.8,3,0.8
260,0.2,0.05,0.05,0.05,0.02,0.005,0.005,0.8,3,0.8
261,0.8,0.05,0.05,0.05,0.02,0.005,0.005,0.6,3,0.6
262,0.6,0.05,0.05,0.05,0.02,0.005,0.005,0.6,3,0.6
263,0.5,0.05,0.05,0.05,0.02,0.005,0.005,0.6,3,0.6
264,0.4,0.05,0.05,0.05,0.02,0.005,0.005,0.6,3,0.6
265,0.2,0.05,0.05,0.05,0.02,0.005,0.005,0.6,3,0.6
266,0.8,0.05,0.05,0.05,0.02,0.005,0.005,0.4,3,0.4
267,0.6,0.05,0.05,0.05,0.02,0.005,0.005,0.4,3,0.4
268,0.5,0.05,0.05,0.05,0.02,0.005,0.005,0.4,3,0.4
269,0.4,0.05,0.05,0.05,0.02,0.005,0.005,0.4,3,0.4
270,0.2,0.05,0.05,0.05,0.02,0.005,0.005,0.4,3,0.4
271,0.8,0.05,0.05,0.05,0.02,0.005,0.005,0,3,0
272,0.6,0.05,0.05,0.05,0.02,0.005,0.005,0,3,0
273,0.5,0.05,0.05,0.05,0.02,0.005,0.005,0,3,0
274,0.4,0.05,0.05,0.05,0.02,0.005,0.005,0,3,0
275,0.2,0.05,0.05,0.05,0.02,0.005,0.005,0,3,0
